Date,Open,High,Low,Close,Adj Close,Volume
2022-08-05,70.500000,70.849998,69.120003,70.160004,69.635757,1648743
2022-08-08,70.680000,73.489998,70.680000,73.129997,72.583565,1874135
2022-08-09,72.739998,76.330002,72.000000,75.540001,74.975555,3051244
2022-08-10,75.260002,78.489998,75.260002,76.309998,75.739799,2638431
2022-08-11,76.570000,78.989998,75.209999,76.320000,75.749733,3759861
2022-08-12,76.349998,77.330002,75.000000,76.690002,76.116966,3712651
2022-08-15,76.379997,76.650002,74.300003,75.239998,74.677795,2109285
2022-08-16,75.180000,75.989998,72.849998,74.769997,74.211311,3353241
2022-08-17,74.110001,75.110001,73.029999,73.940002,73.387512,1958546
2022-08-18,74.040001,74.279999,73.010002,73.559998,73.010353,1642136
2022-08-19,73.389999,74.400002,72.860001,73.559998,73.010353,1590453
2022-08-22,73.489998,74.970001,72.769997,74.519997,73.963173,4668808
2022-08-23,74.309998,74.389999,72.500000,73.650002,73.099678,3331272
2022-08-24,73.949997,74.059998,72.720001,73.500000,72.950798,2148373
2022-08-25,73.440002,73.910004,72.500000,73.610001,73.059982,2515234
2022-08-26,73.980003,74.010002,73.000000,73.400002,72.851547,336626
2022-08-29,72.889999,73.230003,70.330002,71.129997,70.598511,2758696
2022-08-30,71.150002,71.370003,68.980003,69.470001,68.950912,2204013
2022-08-31,69.339996,69.690002,64.690002,66.220001,65.725197,14878300
2022-09-01,66.470001,71.330002,65.839996,70.269997,69.744934,3171086
2022-09-02,71.000000,72.349998,70.300003,71.970001,71.432236,1651119
2022-09-05,72.349998,72.349998,69.980003,70.480003,69.953369,436326
2022-09-06,70.510002,71.019997,69.830002,70.879997,70.350372,1874552
2022-09-07,70.889999,72.300003,69.300003,71.940002,71.402458,2584453
2022-09-08,72.930000,72.930000,70.919998,72.120003,71.581116,1821836
2022-09-09,72.440002,73.360001,71.400002,73.029999,72.484314,1144724
2022-09-12,73.540001,74.239998,73.150002,73.699997,73.149300,869317
2022-09-13,73.410004,74.050003,72.300003,73.029999,72.484314,1762960
2022-09-14,73.269997,75.000000,71.709999,72.650002,72.107155,2429018
2022-09-15,72.519997,73.779999,72.209999,73.449997,72.901169,10694764
2022-09-19,73.430000,75.000000,71.209999,72.919998,72.375130,2184269
2022-09-20,73.220001,73.489998,72.040001,72.970001,72.424759,1913674
2022-09-21,73.000000,74.000000,72.129997,73.589996,73.040123,2020346
2022-09-22,73.389999,75.519997,72.010002,75.180000,74.618248,1824129
2022-09-23,75.180000,75.180000,72.000000,72.389999,71.849091,1869855
2022-09-26,72.769997,74.690002,71.050003,71.500000,70.965744,1933054
2022-09-27,71.730003,74.800003,71.730003,73.510002,72.960732,1902922
2022-09-28,73.500000,74.400002,72.360001,73.500000,72.950798,2511432
2022-09-29,73.269997,73.970001,72.199997,72.739998,72.196480,1998697
2022-09-30,72.510002,74.879997,70.730003,70.769997,70.241196,2372308
2022-10-03,70.949997,72.000000,70.209999,71.730003,71.194031,1200634
2022-10-04,72.320000,72.320000,70.239998,71.680000,71.144402,1733660
2022-10-05,71.389999,72.349998,70.320000,72.260002,71.720070,2049764
2022-10-06,72.160004,72.660004,70.610001,71.040001,70.509186,3340868
2022-10-07,70.889999,73.989998,70.739998,72.889999,72.345360,1398919
2022-10-10,72.500000,73.650002,70.250000,70.410004,69.883896,771076
2022-10-11,70.419998,73.959999,70.120003,72.000000,71.462006,2138696
2022-10-12,72.169998,73.489998,70.680000,71.190002,70.658066,2685822
2022-10-13,70.610001,71.970001,70.000000,70.669998,70.141945,1502392
2022-10-14,70.800003,72.050003,68.830002,70.059998,69.536499,1521377
2022-10-17,70.410004,74.500000,70.410004,73.000000,72.454536,2355506
2022-10-18,73.540001,73.980003,71.309998,71.930000,71.392532,937250
2022-10-19,71.620003,72.169998,70.000000,70.040001,69.516655,783926
2022-10-20,70.510002,72.800003,69.529999,70.500000,69.973221,2645243
2022-10-21,70.720001,72.449997,69.440002,71.800003,71.263504,2649476
2022-10-24,72.150002,73.779999,71.760002,73.370003,72.821777,1456416
2022-10-25,72.309998,75.379997,72.000000,75.220001,74.657951,2222301
2022-10-26,75.160004,75.309998,73.610001,74.599998,74.042580,1171941
2022-10-27,74.500000,75.500000,74.300003,74.800003,74.241089,1201870
2022-10-28,75.550003,76.760002,74.550003,76.430000,75.858910,1622038
2022-10-31,76.300003,79.500000,75.260002,76.809998,76.236069,2692533
2022-11-01,76.809998,82.059998,76.570000,81.900002,81.288040,3062801
2022-11-03,81.010002,81.839996,79.230003,79.570000,78.975449,2288698
2022-11-04,80.839996,82.330002,79.309998,81.070000,80.464233,1603838
2022-11-07,81.209999,82.930000,79.779999,80.260002,79.660294,1267890
2022-11-08,80.820000,83.169998,80.269997,81.559998,80.950577,1660275
2022-11-09,81.559998,82.680000,80.589996,81.570000,80.960503,1517727
2022-11-10,82.449997,84.209999,82.000000,82.879997,82.260712,1048515
2022-11-11,82.980003,84.279999,82.019997,83.489998,82.866150,1578550
2022-11-14,83.160004,86.930000,83.059998,85.730003,85.089424,1588843
2022-11-15,86.230003,88.050003,83.910004,85.570000,84.930611,1550032
2022-11-16,85.300003,86.529999,85.139999,85.910004,85.268074,1251696
2022-11-17,85.099998,86.709999,84.199997,85.379997,84.742027,790961
2022-11-18,85.680000,90.339996,85.680000,87.500000,86.846191,1218820
2022-11-22,87.800003,88.830002,85.080002,85.580002,84.940536,3255233
2022-11-23,85.480003,87.750000,84.910004,86.989998,86.339996,2267498
2022-11-24,86.989998,87.529999,85.690002,87.400002,87.400002,385263
2022-11-25,87.250000,88.989998,82.000000,86.489998,86.489998,1261696
